"","Organization.Name","Business.Category","Approved.Budget.of.the.Contract","Item.Name","Item.Desc","Quantity","Item.Budget"
"15","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Oxidase Reagent Strip at least 25s","Bacteriology",12," 12,000.00 "
"16","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","PYR disc with reagent 25 atleast 25test","Bacteriology",2," 8,000.00 "
"17","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Sheeps Blood 100ml","Bacteriology",4," 7,200.00 "
"18","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Urease Agar 500gms","Bacteriology",1," 7,930.00 "
"19","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Vitox plus diluent (2x5 vials)","Bacteriology",8," 33,920.00 "
"20","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","2% Chlorhexidine in 70% Alcohol skin wipes","Bacteriology",16," 32,000.00 "
"21","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Cover Slip (24 x 55-60mm) 100's","Histopathology",70," 17,500.00 "
"22","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Cover Slip (20-30 x 40-55 mm) 100's","Histopathology",60," 15,000.00 "
"23","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Conical test tube glass or plastic (at least 10mL)","Histopathology",20," 14,000.00 "
"24","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Tissue Marking Dye set","Histopathology",1," 20,000.00 "
"25","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Single Cytofunnel with White Filter Cards 50's uni","Histopathology",1," 15,000.00 "
"26","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Double Cytofunnel with White Filter Cards 25's uni","Histopathology",1," 15,000.00 "
"27","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","White Filter Cards, 100's per unit box(Must be com","Histopathology",1," 7,000.00 "
"28","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","G6PD Reagent with Special Chemistry","Chemistry",4," 1,027,960.00 "
"29","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Anti Human Globulin 10ml","Bloodbank",2," 4,000.00 "
"30","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Anti-D 10ml.","Bloodbank",50," 55,000.00 "
"31","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Check Cells","Bloodbank",2," 22,000.00 "
"32","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Blood bag Label with Print(Standard Color","Bloodbank",10000," 100,000.00 "
"33","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Viral RNA Extraction Kit with 8 strip tip 32T/kit","PCR Lab",1720," 20,640,000.00 "
"34","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","8 strip tube with cap 1.2ml low profile optically","PCR Lab",460," 3,680,000.00 "
"35","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","10ul  Filtered tips 10x96/pack","PCR Lab",58," 928,000.00 "
"36","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Test Tube rack 5-10 ml( Autoclavable)","PCR Lab",25," 23,750.00 "
"37","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Biohazard Autoclavable bag(80cmx60cm)","PCR Lab",1200," 80,400.00 "
"38","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","HEPATITIS PROFILE","Serology and Immunology",2," 880,612.00 "
"39","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Reticulocyte Stain 100ml","Hematology",1," 5,250.00 "
"40","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Westergren ESR Tube 100's","Hematology",8," 36,000.00 "
"41","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","CSF Diluting Fluid","Hematology",1," 1,000.00 "
"42","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Reese & Ecker Reagent","Hematology",2," 2,000.00 "
"43","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","10% KOH 500ml","Clinical Microscopy",2," 4,200.00 "
"44","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","5% Acetic Acid  500ml","Clinical Microscopy",1," 1,000.00 "
"45","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Benedict Solution 500ml.","Clinical Microscopy",1," 1,000.00 "
"46","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Grams Stain","Clinical Microscopy",20," 50,000.00 "
"47","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Lugols Iodine 500ml.","Clinical Microscopy",2," 2,400.00 "
"48","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Methylene Blue 100ml","Clinical Microscopy",2," 6,000.00 "
"49","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Occult Blood  100's","Clinical Microscopy",3," 6,585.00 "
"50","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Kato Katz 100 T/ box","Clinical Microscopy",1," 5,000.00 "
"51","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Anti-HBS (Rapid Test) 30s","Serology and Immunology",1," 4,000.00 "
"52","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Complement 3 (C3) 12T","Serology and Immunology",6," 3,000.00 "
"53","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","THYROID FUNCTION TESTS","Serology and Immunology",1," 249,600.00 "
"54","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Acid Fast Stain 500 ml.","Bacteriology",4," 4,940.00 "
"55","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Xylene (at least 2L)","Histopathology",40," 100,000.00 "
"56","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Gel Technology for  Complete Crossmatching with AB","Bloodbank",3," 1,825,200.00 "
"57","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","V-factor disc at least 50's","Bacteriology",2," 2,000.00 "
"58","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Triple Sugar Iron 500 gms.","Bacteriology",1," 5,850.00 "
"59","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Lysine Iron Agar 500gms.","Bacteriology",1," 6,980.00 "
"60","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Hemoglobin meter Strip/ Microcuvette","Bloodbank",2000," 100,000.00 "
"61","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Cadaver Bag / Body Bag with zipper, at least 76?L","Histopathology",50," 100,000.00 "
"62","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","FULLY AUTOMATED ID with AST","Bacteriology",1," 6,036,000.00 "
"63","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Oral Glucose Solution 75gms.","Chemistry",600," 150,000.00 "
"64","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Disp.Inoculating Needle","Bacteriology",2000," 14,000.00 "
"65","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Novobiocin 5ug","Bacteriology",2," 480.00 "
"66","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Bile Esculin Agar  at least 500g","Bacteriology",1," 21,000.00 "
"67","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","PPE Type B","PCR Lab",2000," 400,000.00 "
"68","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Opticheck (liquid control)","Respiratory Therapy",1," 18,001.00 "
"69","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Procalcitonin 10T","Serology and Immunology",40," 494,640.00 "
"70","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Blood Culture bottle Adult with ARD at least  50's","Bacteriology",60," 2,518,800.00 "
"71","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Test Pack (Pregnancy Test) 25's","Clinical Microscopy",100," 85,000.00 "
"72","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Malaria 25's (Rapid test for Malaria Antigen)","Bloodbank",240," 840,000.00 "
"73","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Reagent for Urine Electrolytes with control & cali","Chemistry",4," 60,000.00 "
"74","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Test for Salmonella IgG/IgM 25s","Serology and Immunology",6," 45,000.00 "
"75","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","DRY Chemistry Reagent","Chemistry",1," 1,259,179.45 "
"76","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","EA 50 (at least 1L)","Histopathology",2," 16,000.00 "
"77","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Anti- HCV (Rapid Test) 100s","Serology and Immunology",3," 30,000.00 "
"78","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Non Invasive Hemoglobin Test","Bloodbank",5000," 250,000.00 "
"79","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Hemoglobin Powder 500gms.","Bacteriology",1," 9,000.00 "
"80","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Petri dish  small  15 x 90","Bacteriology",1500," 18,375.00 "
"81","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","PCR tube Cooling Rack","PCR Lab",20," 100,000.00 "
"82","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","LISS","Bloodbank",4," 14,000.00 "
"83","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Optochin disc 50's","Bacteriology",2," 480.00 "
"84","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Leptospira IgG/ IgM 25s","Serology and Immunology",1," 8,500.00 "
"85","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Hb Calibrating cassette","Respiratory Therapy",1," 7,000.00 "
"86","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Mueller Hinton Agar 500gms","Bacteriology",4," 17,200.00 "
"87","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","CD4 Cartridge 100s","Serology and Immunology",1," 100,000.00 "
"88","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Calibrating Gas","Respiratory Therapy",60," 420,000.00 "
"89","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Hcv ab  Assay Kit( Compatible with CLEIA/CLIA mach","Bloodbank",6," 165,000.00 "
"90","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Blood Culture bottle Pedia with ARD at least 50's","Bacteriology",40," 1,679,200.00 "
"91","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Decalcifier (for soft bone tissues)","Histopathology",1," 20,000.00 "
"92","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Trypticase Soy Agar at least 500g","Bacteriology",1," 4,400.00 "
"93","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Dengue Duo NS1Agx 10's","Serology and Immunology",50," 175,000.00 "
"94","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","ER/PR Her2Neu reagents","Histopathology",1," 277,800.00 "
"95","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Gill III (at least 1L)","Histopathology",6," 48,000.00 "
"96","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Sulfide Indole Motility 500gms.","Bacteriology",1," 9,500.00 "
"97","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","TEST FOR HORMONES","Serology and Immunology",1," 91,600.00 "
"98","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Crystal Identificationx20's Gram Positive","Bacteriology",4," 48,000.00 "
"99","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Microcentrifuge tube 1.5-2.0 ml 500/pack","PCR Lab",110," 165,000.00 "
"100","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","ASO Quantitaive test  25T","Serology and Immunology",2," 26,000.00 "
"101","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","EDTA tube 5ml 100's","Bloodbank",154," 169,400.00 "
"102","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Minicollect EDTA 100's","Hematology",40," 44,800.00 "
"103","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Reagents, controls, calibrators, consumables and d","Bloodbank",60," 6,600,000.00 "
"104","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","6-part Hematology Reagent with  Body Fluid analysi","Hematology",20," 1,800,000.00 "
"105","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","200ul Filtered tips 10x96/pack","PCR Lab",230," 3,680,000.00 "
"106","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","DNASE Agar at leats 500g","Bacteriology",1," 9,000.00 "
"107","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","RF/IgM (Rheumatoid Factor) 25T","Serology and Immunology",2," 14,710.00 "
"108","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Salmonella Shigella Agar","Bacteriology",1," 8,160.00 "
"109","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Standard Reference Cassette (SRC) level 1,2,3","Respiratory Therapy",1," 21,000.00 "
"110","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Thiosulfate Citrate Bile Salt Sucrose Agar at leas","Bacteriology",1," 7,000.00 "
"111","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Typing Sera A & B 10ml with control cells","Bloodbank",50," 50,000.00 "
"112","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Harris Hematoxylin (at least 1L)","Histopathology",1," 8,200.00 "
"113","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Microcentrifuge tube rack 2.0 ml","PCR Lab",20," 30,000.00 "
"114","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Urine Strips 10 Parameters 100's","Clinical Microscopy",8," 7,200.00 "
"115","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Disp.Inoculating Loop 1ul","Bacteriology",2000," 14,000.00 "
"116","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Tryptic Soy Broth at least 500g","Bacteriology",1," 6,000.00 "
"117","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Triple Blood Bag","Bloodbank",6000," 2,112,000.00 "
"118","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Glass Slides (frosted)","Histopathology",250," 15,000.00 "
"119","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Reagent Pack (Na, K, Cl, Tcal, ICal) more than 300","Chemistry",120," 1,428,000.00 "
"120","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Decalcifier (for hard bone tissues)","Histopathology",1," 20,000.00 "
"121","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Mounting Medium (at least 500ml)","Histopathology",2," 12,000.00 "
"122","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Red Cells for Recipient  Antibody Screening","Bloodbank",5," 40,000.00 "
"123","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","H Pylori 30T","Serology and Immunology",2," 36,000.00 "
"124","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","X Factor disc  at least 50's","Bacteriology",2," 2,000.00 "
"125","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","VTM tube 3.0 ml with OPS & NPS 25's","PCR Lab",1440," 12,960,000.00 "
"126","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Nitrofurantoin disc 50's","Bacteriology",2," 480.00 "
"127","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Paraffin pellets (at least 1kilo)","Histopathology",40," 32,000.00 "
"128","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Mackonkey Agar 500gms.","Bacteriology",1," 6,000.00 "
"129","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","XV Factor disc at least 50's","Bacteriology",2," 2,000.00 "
"130","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","PCR Plate low profile, unskirted, clear MLL9601","PCR Lab",50," 875,000.00 "
"131","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Oral Glucose Solution 50gms.","Chemistry",20," 5,000.00 "
"132","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Nalidixic Acid disc 50's","Bacteriology",2," 480.00 "
"133","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Nucleic Acid Diagnostic PCR kit (Flourescense Prob","PCR Lab",55000," 57,200,000.00 "
"134","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Red Cells for Donor Antibody Screening","Bloodbank",25," 100,000.00 "
"135","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Crystal Identificationx20's Neisseria/Haemophilus","Bacteriology",2," 24,000.00 "
"136","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Crystal Identificationx20's Gram Negative","Bacteriology",4," 47,200.00 "
"137","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Absolute alcohol (at least 3 liters)","Histopathology",130," 195,000.00 "
"138","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Urine Flow Cytometry Reagent with control 1000T","Clinical Microscopy",50," 4,500,000.00 "
"139","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","TUMOR MARKERS","Serology and Immunology",1," 80,565.00 "
"140","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Disposable Cartridge E- Ca x 25's","Respiratory Therapy",387," 4,024,800.00 "
"141","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Blood bag (single)","Bloodbank",1000," 108,000.00 "
"142","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","1000ul Filtered tips 10x96/pack","PCR Lab",58," 1,044,000.00 "
"143","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Blue top test tube 1.8ml. 3.2%Na Citrate(plastic)1","Hematology",20," 20,000.00 "
"144","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","Malaria EIA 480's","Bloodbank",5," 287,950.00 "
"145","BATAAN GENERAL HOSPITAL AND MEDICAL CENTER","Laboratory Supplies and Equipment"," 157,600,391.09 ","OG 6 (at least 1L)","Histopathology",3," 24,000.00 "
